"","LabID","majority_class_totalProb","summed_prob","majority_class_probs","second_class","second_prob","second_class_probs","majority_class_ConfRunsCount","confident_called_runs","confident_runs_total","agree","JA_struc","JC_struc","pure_K2_v1_JPfastStruc","pure_K2_v2_JPfastStruc","pure_K3_v1_JPfastStruc","pure_K3_v2_JPfastStruc","pure_K3_v3_JPfastStruc","pure_K4_v1_JPfastStruc","pure_K4_v2_JPfastStruc","pure_K4_v3_JPfastStruc","pure_K4_v4_JPfastStruc","pure_K5_v1_JPfastStruc","pure_K5_v2_JPfastStruc","pure_K5_v3_JPfastStruc","pure_K5_v4_JPfastStruc","pure_K5_v5_JPfastStruc","NewHyb_FinalAssignment"
"2647","095513_1807_S380_","F2xBCJC",5,"1; 1; 1; 1; 1","JC",0,"0; 0; 0; 0; 0","F2xBCJC",5,5,TRUE,0.283082,0.716918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2xBCJC"
"2648","095514_1808_S381_","BC2JC",4.15003,"0.915; 0.961; 0.728; 0.876; 0.67","BCJCxBC3JC",0.82466,"0.084; 0.023; 0.268; 0.123; 0.326","BC2JC",3,3,TRUE,0.131265,0.868735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC2JC"
"2649","095515_1809_S382_","JC",4.95988,"1; 0.963; 0.999; 0.998; 1","BC6JC",0.03914,"0; 0.037; 0.001; 0.001; 0","JC",5,5,TRUE,0.001405,0.998595,0.954096,0.045904,2.5e-05,0.999949,2.5e-05,0.999952,1.6e-05,1.6e-05,1.6e-05,1.2e-05,1.2e-05,1.2e-05,0.999951,1.2e-05,"JC"
"2650","095516_1810_S383_","F2xBCJC",4.99839,"1; 1; 1; 0.998; 1","BCJCxBC3JC",0.00119,"0; 0; 0; 0.001; 0","F2xBCJC",5,5,TRUE,0.219891,0.780109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2xBCJC"
"2651","095517_1811_S384_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,0.000337,0.999663,0.976671,0.023329,2.5e-05,0.965135,0.03484,0.118268,1.6e-05,0.881699,1.6e-05,0.362019,1.2e-05,0.054748,1.2e-05,0.583208,"JC"
"2652","095518_1812_S385_","BC2JCxBC3JC",3.11955,"0.853; 0.946; 0.199; 0.201; 0.92","BCJCxBC3JC",1.55629,"0.085; 0.003; 0.689; 0.779; 0.001","BC2JCxBC3JC",3,4,TRUE,0.122081,0.877919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC2JCxBC3JC"
"2653","100467_1813_S2_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,0.000164,0.999836,0.997232,0.002768,0.003057,0.996647,0.000296,0.067544,1.6e-05,0.932424,1.6e-05,0.072081,0.927882,1.2e-05,1.2e-05,1.2e-05,"JC"
"2654","100468_1814_S3_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,4e-05,0.99996,0.351498,0.648502,0.999949,2.5e-05,2.5e-05,0.117301,1.6e-05,0.154093,0.72859,1.2e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,"JC"
"2655","100469_1815_S4_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,4.2e-05,0.999958,0.99979,0.00021,2.5e-05,0.902764,0.09721,1.6e-05,1.6e-05,0.999952,1.6e-05,0.238592,0.674536,1.2e-05,1.2e-05,0.086848,"JC"
"2656","100470_1816_S5_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999752,0.000248,2.5e-05,0.999949,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.884568,1.2e-05,1.2e-05,0.115395,"JC"
"2657","100471_1817_S6_","JA",4.99973,"1; 1; 1; 1; 1","BC6JA",0.00023,"0; 0; 0; 0; 0","JA",5,5,TRUE,0.999957,4.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JA"
"2658","100472_1818_S7_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.7e-05,0.999963,0.490881,0.509119,0.72999,0.269984,2.5e-05,1.6e-05,1.6e-05,0.438191,0.561776,1.2e-05,1.2e-05,0.701963,1.2e-05,0.298,"JC"
"2659","100473_1819_S8_","BCJCxBCJA",2.96399,"0.963; 1; 1; 0; 0.001","F1",2.03591,"0.037; 0; 0; 1; 0.999","BCJCxBCJA",3,5,TRUE,0.484849,0.515151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCJCxBCJA"
"2660","100474_1820_S9_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.3e-05,0.999967,0.560412,0.439588,0.664376,0.335599,2.5e-05,1.6e-05,1.6e-05,0.524928,0.47504,1.2e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,"JC"
