"","LabID","majority_class_totalProb","summed_prob","majority_class_probs","second_class","second_prob","second_class_probs","majority_class_ConfRunsCount","confident_called_runs","confident_runs_total","agree","JA_struc","JC_struc","pure","pure_K2_v1_JPfastStruc","pure_K2_v2_JPfastStruc","pure_K3_v1_JPfastStruc","pure_K3_v2_JPfastStruc","pure_K3_v3_JPfastStruc","pure_K4_v1_JPfastStruc","pure_K4_v2_JPfastStruc","pure_K4_v3_JPfastStruc","pure_K4_v4_JPfastStruc","pure_K5_v1_JPfastStruc","pure_K5_v2_JPfastStruc","pure_K5_v3_JPfastStruc","pure_K5_v4_JPfastStruc","pure_K5_v5_JPfastStruc","NewHyb_FinalAssignment"
"763","085751_1272_S75_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,5.9e-05,0.999941,"JC",0.000211,0.999789,0.99995,2.5e-05,2.5e-05,1.6e-05,1.6e-05,1.6e-05,0.999952,1.2e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,"NewHyb_JC"
"764","085752_1273_S76_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.7e-05,0.999963,"JC",0.752654,0.247346,0.395396,0.604578,2.5e-05,1.6e-05,1.6e-05,0.754452,0.245516,0.138687,1.2e-05,0.438372,1.2e-05,0.422916,"NewHyb_JC"
"765","085753_1274_S77_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.9e-05,0.999961,"JC",0.416872,0.583128,0.830948,0.131475,0.037577,0.077729,1.6e-05,0.278587,0.643667,1.2e-05,1.2e-05,0.798218,1.2e-05,0.201745,"NewHyb_JC"
"766","085754_1275_S78_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.6e-05,0.999964,"JC",0.313453,0.686547,0.999949,2.5e-05,2.5e-05,0.164191,0.011519,1.6e-05,0.824274,1.2e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,"NewHyb_JC"
"767","085755_1276_S79_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.8e-05,0.999962,"JC",0.131532,0.868468,0.999949,2.5e-05,2.5e-05,1.6e-05,1.6e-05,1.6e-05,0.999952,1.2e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,"NewHyb_JC"
"768","085756_1277_S80_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.9e-05,0.999961,"JC",0.999729,0.000271,2.5e-05,0.999949,2.5e-05,0.043257,1.6e-05,0.956711,1.6e-05,1.2e-05,1.2e-05,0.011606,1.2e-05,0.988357,"NewHyb_JC"
"769","085757_1278_S81_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,4.3e-05,0.999957,"JC",0.97585,0.02415,0.034381,0.965594,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,1.2e-05,0.108565,1.2e-05,0.891398,"NewHyb_JC"
"770","085758_1279_S82_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.4e-05,0.999966,"JC",0.999733,0.000267,2.5e-05,0.999949,2.5e-05,0.204004,1.6e-05,0.795964,1.6e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.999951,"NewHyb_JC"
"771","085759_1280_S83_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.8e-05,0.999962,"JC",0.970441,0.029559,0.044485,0.95549,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.999951,"NewHyb_JC"
"772","085760_1281_S84_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.6e-05,0.999964,"JC",0.999794,0.000206,2.5e-05,0.999949,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.999951,"NewHyb_JC"
