"HASC_2","NAME_2","NAME_1","JC","BC6JC","complexBCJC","F1","BC2JAxBC3JC","BCJCxBCJA","BCJC","F2","BCJAxBCJA","BCJCxBC3JC","BCJCxBCJC","BCJA","JA","BC2JC","BCJCxBC2JC","complexBCJA","complexBCF","BC2JCxBC3JC","BC4JC","mean_JC_struc","Hybrids","Total","Hybrid_perc"
"US.IN.MO","Marion","Indiana",2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.7738162,3,5,60
"US.IN.MS","Marshall","Indiana",4,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.842443909090909,7,11,63.6363636363636
"US.IN.NO","Noble","Indiana",2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.8845595,2,4,50
"US.IN.OR","Orange","Indiana",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999252,0,5,0
"US.IN.PR","Porter","Indiana",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997595,0,2,0
"US.IN.SE","Steuben","Indiana",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.631892333333333,2,3,66.6666666666667
"US.IN.SH","Shelby","Indiana",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.58624,1,1,100
"US.IN.SN","Saint Joseph","Indiana",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.736606,1,1,100
"US.IN.SR","Starke","Indiana",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847159,1,1,100
"US.IN.TP","Tippecanoe","Indiana",11,0,0,0,0,0,1,3,1,0,0,0,1,0,0,1,0,0,0,0.767354,6,18,33.3333333333333
"US.IN.VE","Vermillion","Indiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999963,0,1,0
"US.IN.WL","Whitley","Indiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965,0,1,0
"US.IN.WY","Wayne","Indiana",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.839545,2,2,100
"US.KY.BK","Bracken","Kentucky",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7569905,1,2,50
"US.KY.CR","Carter","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"US.KY.FE","Fleming","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999962,0,1,0
"US.KY.GN","Green","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999962,0,1,0
"US.KY.HS","Harrison","Kentucky",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99996425,0,4,0
"US.KY.JS","Jessamine","Kentucky",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7616635,1,2,50
"US.KY.LI","Lewis","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964,0,1,0
"US.KY.LR","Larue","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999807,0,1,0
"US.KY.MD","Madison","Kentucky",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889739,1,1,100
"US.KY.PO","Powell","Kentucky",5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.968267,1,6,16.6666666666667
"US.KY.TA","Taylor","Kentucky",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99988,0,2,0
"US.KY.TG","Trigg","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999769,0,1,0
