SampleID,SiteNumber,Aziz_descrip,location,LabID,SampleNumber,SampleNumber2,FromWhatSpreadsheet,FromWhatSpreadsheet_notes,Latitude,Longitude,SiteOwner,DateSampled,PlantHeight_ft,DBH_cm,ProducingSeed,PercentLiveCanopy,EpicormicBranches_FromBase,EpicormicBranches_FromTrunk,VisibleCankers,Calloused_YN,AreaInfectedByCanker_Trunk_perc,AreaInfectedByCanker_RootFlare_prec,InfectionSeverity,TerminalBudShape,BudScarShape,LenticalShape,FruitsPerBunch,Seedling_YN
JC-W-CPVT-51,CPVT,CP051,,,51,51,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33242,-73.24874,,8/28/2025,54.6,26.1,No,90,N,N,Y,Y,45,50,2.5,,,,,N
JC-W-CPVT-52,CPVT,CP052,,,52,52,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33237,-73.24869,,8/28/2025,56.9,35.7,No,90,N,Y,Y,Y,20,50,2,,,,,N
JC-W-CPVT-53,CPVT,CP053,,,53,53,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33226,-73.24907,,8/28/2025,54.2,30.9,No,20,N,Y,Y,Y,30,95,3.5,,,,,N
JC-W-CPVT-54,CPVT,CP054,,,54,54,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33223,-73.24917,,8/28/2025,55,30.1,No,50,N,Y,Y,Y,20,60,2.5,,,,,N
JC-W-CPVT-55,CPVT,CP055,,,55,55,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33234,-73.24904,,8/28/2025,57,38.9,No,85,N,Y,Y,Y,35,85,3,,,,,N
JC-W-CPVT-56,CPVT,CP056,,,56,56,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33251,-73.24914,,8/28/2025,52.5,37.2,No,15,N,Y,Y,Y,55,70,4,0,0,0,,N
JC-W-CPVT-57,CPVT,CP057,,,57,57,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33251,-73.24913,,8/28/2025,53,39.2,No,10,N,Y,Y,Y,70,65,4.5,,,,,N
JC-W-CPVT-58,CPVT,CP058,,,58,58,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33312,-73.24611,,8/27/2025,50.2,33,No,95,N,N,Y,Y,50,90,2,0,0,0,,N
JC-W-CPVT-59,CPVT,CP059,,,59,59,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33334,-73.24599,,8/27/2025,61.5,60,No,90,N,N,Y,Y,10,15,1.5,,,,,N
JC-W-CPVT-60,CPVT,CP060,,,60,60,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33332,-73.24626,,8/27/2025,51.3,48.5,No,75,N,Y,Y,Y,40,95,2.5,,,,,N
JC-W-CPVT-61,CPVT,CP061,,,61,61,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33,-73.24,,8/27/2025,54.7,58.6,No,90,N,N,Y,Y,5,60,2.5,0,0,0,,N
JC-W-CPVT-62,CPVT,CP062,,,62,62,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33496,-73.24347,,8/25/2025,84.5,67.8,Yes,90,N,N,Y,N,5,0,1,,,,5,N
JC-W-CPVT-63,CPVT,CP063,,,63,63,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33485,-73.24362,,8/25/2025,30.1,36.8,No,20,N,Y,Y,Y,85,80,4.5,,,,,N
JC-W-CPVT-64,CPVT,CP064,,,64,64,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33541,-73.24267,,8/25/2022,3.7,,,,,,Y,N,,,,,,,,Y
JC-W-CPVT-65,CPVT,CP065,,,65,65,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33538,-73.24267,,8/25/2025,3.8,,,,,,Y,N,,,,,,,,Y
JC-W-CPVT-66,CPVT,CP066,,,66,66,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33534,-73.24262,,8/25/2025,1.9,,,,,,Y,N,,,,,,,,Y
JC-W-CPVT-67,CPVT,CP067,,,67,67,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33537,-73.24259,,8/25/2025,1.3,,,,,,Y,N,,,,,,,,Y
JC-W-CPVT-68,CPVT,CP068,,,68,68,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33546,-73.24258,,8/26/2025,1.8,,,,,,N,,,,,0,0,0,,Y
JC-W-CPVT-69,CPVT,CP069,,,69,69,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33567,-73.24277,,8/26/2025,4.4,,,,,,Y,N,,,,0,0,0,,Y
JC-W-CPVT-70,CPVT,CP070,,,70,70,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33582,-73.24281,,8/26/2025,6.1,1.3,No,100,Y,N,Y,NA,2,0,1,0,0,0,,N
JC-W-CPVT-71,CPVT,CP071,,,71,71,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33583,-73.24283,,8/26/2025,3.9,,,,,,Y,N,,,,0,0,0,,Y
JC-W-CPVT-72,CPVT,CP072,,,72,72,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33571,-73.24277,,8/26/2025,3.1,,,,,,Y,N,,,,0,0,0,,Y
JC-W-CPVT-73,CPVT,CP073,,,73,73,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33292,-73.24612,,8/27/2025,15.1,7.3,No,100,N,N,N,,,,,0,0,0,,N
JC-W-CPVT-74,CPVT,CP074,,,74,74,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.3363,-73.24301,,8/27/2025,21.2,14.2,No,100,N,N,Y,Y,20,45,1.5,0,0,0,,N
JC-W-CPVT-75,CPVT,CP075,,,75,75,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33492,-73.24645,,8/25/2025,39,11.4,No,100,N,N,Y,N,7,8,1,,,,,N
JC-W-CPVT-76,CPVT,CP076,,,76,76,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33506,-73.24648,,8/25/2025,19.5,9.2,No,100,N,N,Y,Y,20,15,2,0,0,0,,N
JC-W-CPVT-77,CPVT,CP077,,,77,77,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.3352,-73.24647,,8/26/2025,3.4,,,,,,Y,N,,,,0,0,0,,Y
JC-W-CPVT-78,CPVT,CP078,,,78,78,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33521,-73.24646,,8/26/2025,4.2,,,,,,Y,N,,,,0,0,0,,Y
JC-W-CPVT-79,CPVT,CP079,,,79,79,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33526,-73.24638,,8/26/2025,1.7,,,,,,Y,N,,,,0,0,0,,Y
JC-W-CPVT-80,CPVT,CP080,,,80,80,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33523,-73.24632,,8/26/2026,2.3,,,,,,Y,N,,,,0,0,0,,Y
JC-W-CPVT-81,CPVT,CP081,,,81,81,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33527,-73.24632,,8/26/2025,1.3,,,,,,Y,Y,,,,0,0,0,,Y
JC-W-CPVT-82,CPVT,CP082,,,82,82,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.3352,-73.24625,,8/26/2025,1.3,,,,,,Y,N,,,,0,0,0,,Y
JC-W-CPVT-83,CPVT,CP083,,,83,83,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33405,-73.24657,,8/26/2025,4.2,,,,,,Y,N,,,,0,0,0,,Y
JC-W-CPVT-84,CPVT,CP084,,,84,84,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33409,-73.24649,,8/26/2025,2.7,,,,,,Y,N,,,,0,0,0,,Y
JC-W-CPVT-85,CPVT,CP085,,,85,85,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33296,-73.24611,,8/26/2025,1.3,,,,,,Y,Y,,,,0,0,0,,Y
JC-W-CPVT-86,CPVT,CP086,,,86,86,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33292,-73.24612,,8/26/2025,1.6,,,,,,Y,Y,,,,0,0,0,,Y
JC-W-CPVT-87,CPVT,CP087,,,87,87,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33296,-73.24613,,8/27/2025,8,2.2,No,80,N,N,Y,N,5,55,1.5,0,0,0,,N
JC-W-CPVT-88,CPVT,CP088,,,88,88,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33291,-73.24613,,8/27/2025,13.1,4.2,No,90,N,Y,Y,N,19,5,1.5,0,0,0,,N
JC-W-CPVT-89,CPVT,CP089,,,89,89,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.3328,-73.24609,,8/27/2025,24.8,14.5,No,90,N,N,Y,Y,5,10,1,0,0,0,,N
JC-W-CPVT-90,CPVT,CP090,,,90,90,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33261,-73.24601,,8/27/2025,63.6,51.3,Yes,90,N,N,Y,NA,5,5,1,,,,5,N
JC-W-CPVT-91,CPVT,CP091,,,91,91,08_15_2025_Revisions_Butternut_Health_Assessment Form_Responses,longer health protocol from 2025 (august and later assessments),44.33183,-73.24729,,8/27/2025,69.5,33.2,No,80,N,Y,Y,Y,35,65,2.5,,,,,N
