,index_number,LabID,JP_fastStruc_K2_JA,JP_fastStruc_K2_JC,Country,Description,latitude_dd,Longitude_dd,Canker,mapid,dbh_mm,Natural.Forest.Plantation,Situation,Sample.collection.Year,Resource
84,51-7-66,091057_51-7-66_S196_,3.40E-05,0.999966,USA,1336,41.54902,-86.74237,Y,HTIRC,119,Plantation with wild resources,Exact Location,2025,Seeds
85,44-11-4,079311_44-11-4_S316_,3.40E-05,0.999966,USA,1338,41.54902,-86.74237,N,HTIRC,172,Plantation with wild resources,City level,2025,Seeds
86,51-22-70,090914_51-22-70_S53_,3.40E-05,0.999966,USA,1338,41.54902,-86.74237,Y,HTIRC,135,Plantation with wild resources,Exact Location,2025,Seeds
87,51-16-59,090983_51-16-59_S122_,3.40E-05,0.999966,USA,1339,41.54902,-86.74237,Y,HTIRC,111,Plantation with wild resources,City level,2025,Seeds
88,51-14-35,091006_51-14-35_S145_,3.50E-05,0.999965,USA,1341,38.84116,-86.48345,Y,HTIRC,85,Plantation with wild resources,City level,2025,Seeds
89,51-15-36,090988_51-15-36_S127_,3.70E-05,0.999963,USA,1342,38.39364,-86.94005,Y,HTIRC,165,Plantation with wild resources,City level,2025,Seeds
90,51-11-51,091030_51-11-51_S169_,3.40E-05,0.999966,USA,1348,37.83115,-83.82377,Y,HTIRC,139,Plantation with wild resources,City level,2025,Seeds
91,44-16-19,079317_44-16-19_S322_,0.189856,0.810144,USA,1348,37.83115,-83.82377,Y,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
92,44-15-3,079309_44-15-3_S314_,5.30E-05,0.999947,USA,1349,37.83115,-83.82377,N,HTIRC,65,Plantation with wild resources,City level,2025,Seeds
93,51-21-18,090919_51-21-18_S58_,3.50E-05,0.999965,USA,1349,37.83115,-83.82377,Y,HTIRC,125,Plantation with wild resources,Exact Location,2025,Seeds
94,51-14-24,091004_51-14-24_S143_,3.60E-05,0.999964,USA,1351,38.53154,-83.37805,Y,HTIRC,165,Plantation with wild resources,City level,2025,Seeds
95,51-19-30,090949_51-19-30_S88_,3.80E-05,0.999962,USA,1354,38.37011,-83.69665,Y,HTIRC,157,Plantation with wild resources,City level,2025,Seeds
96,51-19-73,090959_51-19-73_S98_,2.00E-04,0.9998,USA,1359,37.36646,-85.32784,Y,HTIRC,145,Plantation with wild resources,City level,2025,Seeds
97,51-11-72,091037_51-11-72_S176_,3.80E-05,0.999962,USA,1360,37.25977,-85.49652,Y,HTIRC,191,Plantation with wild resources,City level,2025,Seeds
98,51-12-66,091025_51-12-66_S164_,3.40E-05,0.999966,USA,1361,38.31817,-83.04954,Y,HTIRC,115,Plantation with wild resources,City level,2025,Seeds
99,51-8-46,091052_51-8-46_S191_,0.148767,0.851233,USA,1365,45.50032,-69.24977,Y,HTIRC,105,Plantation with wild resources,suburban edge trees,2025,Seeds
100,44-10-6,079349_44-10-6_S354_,3.40E-05,0.999966,USA,1369,44.25029,-85.50033,N,HTIRC,62,Plantation with wild resources,City level,2025,Seeds
101,51-17-17,090970_51-17-17_S109_,3.70E-05,0.999963,USA,1370,42.95373,-84.14673,Y,HTIRC,NA,Plantation with wild resources,City level,2025,Seeds
102,51-20-36,090939_51-20-36_S78_,3.40E-05,0.999966,USA,1371,42.95373,-84.14673,Y,HTIRC,159,Plantation with wild resources,Exact Location,2025,Seeds
103,44-18-14,079294_44-18-14_S299_,3.40E-05,0.999966,USA,1371,42.95373,-84.14673,,HTIRC,154,Plantation with wild resources,City level,2025,Seeds
104,44-5-10,079324_44-5-10_S329_,5.70E-05,0.999943,USA,1373,44.25029,-85.50033,Y,HTIRC,NA,Plantation with wild resources,City level,2025,Seeds
105,51-23-16,090877_51-23-16_S16_,3.60E-05,0.999964,USA,1378,42.50906,-84.6527,Y,HTIRC,91,Plantation with wild resources,Exact Location,2025,Seeds
106,51-13-62,091015_51-13-62_S154_,3.40E-05,0.999966,USA,1379,42.28478,-83.26113,Y,HTIRC,149,Plantation with wild resources,City level,2025,Seeds
107,Germ71,087657_Germ71_S360_,0.207006,0.792994,USA,1380,44.3148,-85.6024,Y,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
108,51-18-75,090967_51-18-75_S106_,0.097966,0.902034,USA,1381,42.20276,-85.23739,Y,HTIRC,155,Plantation with wild resources,City level,2025,Seeds
109,Germ68,087654_Germ68_S357_,0.229512,0.770488,USA,1385,42.2431,-84.8354,Y,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
