"HASC_2","NAME_2","NAME_1","JC","complexBCJC","F1","BCJCxBCJA","F2xBCJC","BCJCxBC2JAvs","BC2JC","BCJC","F2","complexBCF","complexBCJA","BCJA","JA","BCJAxBCJA","BCJCxBC3JC","BC2JCxBC3JC","BC4JC","F1xBCJA","F1xF2","BCJCxBCJC","BC6JC","BCJCxBC2JC","BC2JAxBC3JC","mean_JC_struc"
"US.IN.BA","Bartholomew","Indiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966
"US.IN.BO","Boone","Indiana",4,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.768946
"US.IN.BR","Brown","Indiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999963
"US.IN.CS","Cass","Indiana",20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990305428571429
"US.IN.DU","Dubois","Indiana",5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891664428571429
"US.IN.EL","Elkhart","Indiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966
"US.IN.FA","Fayette","Indiana",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8796445
"US.IN.FU","Fulton","Indiana",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95516875
"US.IN.JN","Jennings","Indiana",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999857
"US.IN.KN","Knox","Indiana",7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971485375
"US.IN.KO","Kosciusko","Indiana",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.593704333333333
"US.IN.LA","LaPorte","Indiana",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966
"US.IN.LG","LaGrange","Indiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966
"US.IN.LW","Lawrence","Indiana",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999907142857143
"US.IN.MG","Morgan","Indiana",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886563
"US.IN.MN","Martin","Indiana",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9915945
"US.IN.MO","Marion","Indiana",2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7738162
"US.IN.MS","Marshall","Indiana",4,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.842443909090909
"US.IN.NO","Noble","Indiana",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8845595
"US.IN.OR","Orange","Indiana",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999252
"US.IN.PR","Porter","Indiana",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997595
"US.IN.SE","Steuben","Indiana",1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631892333333333
"US.IN.SH","Shelby","Indiana",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58624
"US.IN.SN","Saint Joseph","Indiana",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736606
"US.IN.SR","Starke","Indiana",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847159
"US.IN.TP","Tippecanoe","Indiana",11,0,0,0,1,1,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.767354
"US.IN.VE","Vermillion","Indiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999963
"US.IN.WL","Whitley","Indiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965
"US.IN.WY","Wayne","Indiana",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.839545
"US.KY.BK","Bracken","Kentucky",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7569905
"US.KY.BN","Barren","Kentucky",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861
"US.KY.CR","Carter","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966
"US.KY.ED","Edmonson","Kentucky",53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987907407407407
"US.KY.FE","Fleming","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999962
"US.KY.GN","Green","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999962
"US.KY.HS","Harrison","Kentucky",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99996425
"US.KY.HT","Hart","Kentucky",10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954909090909091
"US.KY.JS","Jessamine","Kentucky",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7616635
"US.KY.LI","Lewis","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964
"US.KY.LO","Logan","Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0095
"US.KY.LR","Larue","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999807
"US.KY.MD","Madison","Kentucky",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889739
"US.KY.PO","Powell","Kentucky",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968267
"US.KY.TA","Taylor","Kentucky",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99988
"US.KY.TG","Trigg","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999769
"US.KY.TM","Trimble","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999961
"US.MA.BE","Berkshire","Massachusetts",10,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.758411764705882
"US.MA.FR","Franklin","Massachusetts",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674
"US.MA.HS","Hampshire","Massachusetts",6,3,1,0,0,0,0,6,7,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0.63858064516129
"US.MA.WO","Worcester","Massachusetts",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988
"US.MD.WA","Washington","Maryland",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999718
"US.ME.AR","Aroostook","Maine",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966
"US.ME.KE","Kennebec","Maine",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.709335
"US.ME.PI","Piscataquis","Maine",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.851233
"US.ME.SO","Somerset","Maine",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99996575
"US.ME.YO","York","Maine",0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.879596666666667
"US.MI.CS","Cass","Michigan",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999961333333333
"US.MI.CU","Calhoun","Michigan",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836261
