"","ID","z","index"
"709","2061",NA,"709"
"710","2062",NA,"710"
"711","2063",NA,"711"
"712","2064",NA,"712"
"713","2065",NA,"713"
"714","2066",NA,"714"
"715","2067",NA,"715"
"716","2068",NA,"716"
"717","2069",NA,"717"
"718","2070",NA,"718"
"719","2071",NA,"719"
"720","2072",NA,"720"
"721","2073",NA,"721"
"722","2074",NA,"722"
"723","2075",NA,"723"
"724","2076",NA,"724"
"725","2077",NA,"725"
"726","2078",NA,"726"
"727","2079",NA,"727"
"728","2080",NA,"728"
"729","2081",NA,"729"
"730","2082",NA,"730"
"731","2083",NA,"731"
"732","2084",NA,"732"
"733","2085",NA,"733"
"734","2086",NA,"734"
"735","2087",NA,"735"
"736","2088",NA,"736"
"737","2044",NA,"737"
"738","2045",NA,"738"
"739","2046",NA,"739"
"740","2047",NA,"740"
"741","2048",NA,"741"
"742","2049",NA,"742"
"743","2050",NA,"743"
"744","2051",NA,"744"
"745","2052",NA,"745"
"746","2053",NA,"746"
"747","2003",NA,"747"
"748","2004",NA,"748"
"749","2034",NA,"749"
"750","2035",NA,"750"
"751","2036",NA,"751"
"752","2037",NA,"752"
"753","2038",NA,"753"
"754","2039",NA,"754"
"755","2040",NA,"755"
"756","2041",NA,"756"
"757","2042",NA,"757"
"758","2043",NA,"758"
"759","2054",NA,"759"
"760","2091",NA,"760"
"761","2092",NA,"761"
"762","2093",NA,"762"
"763","2094",NA,"763"
"764","2095",NA,"764"
"765","2096",NA,"765"
"766","2099",NA,"766"
"767","2100",NA,"767"
"768","2101",NA,"768"
"769","2102",NA,"769"
"770","2103",NA,"770"
"771","2104",NA,"771"
"772","2105",NA,"772"
"773","2106",NA,"773"
"774","2107",NA,"774"
"775","1656","z0","775"
"776","1657",NA,"776"
"777","1658","z0","777"
"778","1659",NA,"778"
"779","1660",NA,"779"
"780","1661",NA,"780"
"781","1662",NA,"781"
"782","1663",NA,"782"
"783","1664","z0","783"
"784","1665","z0","784"
"785","1666",NA,"785"
"786","1667","z0","786"
"787","1668",NA,"787"
